t_seconds,minute,second,approach,movement,vehicles_count
32,0,32,W,R,0
33,0,33,N,L,0
33,0,33,N,T,0
33,0,33,N,R,0
33,0,33,E,L,0
33,0,33,E,T,0
33,0,33,E,R,0
33,0,33,S,L,0
33,0,33,S,T,0
33,0,33,S,R,0
33,0,33,W,L,0
33,0,33,W,T,0
33,0,33,W,R,0
34,0,34,N,L,0
34,0,34,N,T,0
34,0,34,N,R,0
34,0,34,E,L,0
34,0,34,E,T,0
34,0,34,E,R,0
34,0,34,S,L,0
34,0,34,S,T,0
34,0,34,S,R,0
34,0,34,W,L,0
34,0,34,W,T,0
34,0,34,W,R,0
35,0,35,N,L,0
35,0,35,N,T,0
35,0,35,N,R,0
35,0,35,E,L,0
35,0,35,E,T,0
35,0,35,E,R,0
35,0,35,S,L,0
35,0,35,S,T,1
35,0,35,S,R,0
35,0,35,W,L,0
35,0,35,W,T,0
35,0,35,W,R,0
36,0,36,N,L,0
36,0,36,N,T,0
36,0,36,N,R,0
36,0,36,E,L,0
36,0,36,E,T,0
36,0,36,E,R,0
36,0,36,S,L,0
36,0,36,S,T,0
36,0,36,S,R,0
36,0,36,W,L,0
36,0,36,W,T,0
36,0,36,W,R,0
37,0,37,N,L,0
37,0,37,N,T,0
37,0,37,N,R,0
37,0,37,E,L,0
37,0,37,E,T,0
37,0,37,E,R,0
37,0,37,S,L,0
37,0,37,S,T,0
37,0,37,S,R,0
37,0,37,W,L,0
37,0,37,W,T,0
37,0,37,W,R,0
38,0,38,N,L,0
38,0,38,N,T,0
38,0,38,N,R,0
38,0,38,E,L,0
38,0,38,E,T,1
38,0,38,E,R,0
38,0,38,S,L,0
38,0,38,S,T,0
38,0,38,S,R,0
38,0,38,W,L,0
38,0,38,W,T,0
38,0,38,W,R,0
39,0,39,N,L,0
39,0,39,N,T,0
39,0,39,N,R,0
39,0,39,E,L,0
39,0,39,E,T,0
39,0,39,E,R,0
39,0,39,S,L,0
39,0,39,S,T,0
39,0,39,S,R,0
39,0,39,W,L,0
39,0,39,W,T,0
39,0,39,W,R,0
40,0,40,N,L,0
40,0,40,N,T,1
40,0,40,N,R,0
40,0,40,E,L,0
40,0,40,E,T,0
40,0,40,E,R,0
40,0,40,S,L,0
40,0,40,S,T,0
40,0,40,S,R,0
40,0,40,W,L,0
40,0,40,W,T,0
40,0,40,W,R,0
41,0,41,N,L,0
41,0,41,N,T,0
41,0,41,N,R,0
41,0,41,E,L,0
41,0,41,E,T,0
41,0,41,E,R,0
41,0,41,S,L,0
41,0,41,S,T,0
41,0,41,S,R,0
41,0,41,W,L,0
41,0,41,W,T,0
41,0,41,W,R,0
42,0,42,N,L,0
42,0,42,N,T,0
42,0,42,N,R,0
42,0,42,E,L,0
42,0,42,E,T,0
42,0,42,E,R,0
42,0,42,S,L,0
42,0,42,S,T,0
42,0,42,S,R,0
42,0,42,W,L,0
42,0,42,W,T,1
42,0,42,W,R,0
43,0,43,N,L,0
43,0,43,N,T,0
43,0,43,N,R,0
43,0,43,E,L,0
43,0,43,E,T,0
43,0,43,E,R,0
43,0,43,S,L,0
43,0,43,S,T,0
43,0,43,S,R,0
43,0,43,W,L,0
43,0,43,W,T,0
43,0,43,W,R,0
44,0,44,N,L,0
44,0,44,N,T,0
44,0,44,N,R,0
44,0,44,E,L,0
44,0,44,E,T,0
44,0,44,E,R,0
44,0,44,S,L,0
44,0,44,S,T,0
44,0,44,S,R,0
44,0,44,W,L,0
44,0,44,W,T,0
44,0,44,W,R,0
45,0,45,N,L,0
45,0,45,N,T,0
45,0,45,N,R,0
45,0,45,E,L,0
45,0,45,E,T,0
45,0,45,E,R,0
45,0,45,S,L,0
45,0,45,S,T,0
45,0,45,S,R,0
45,0,45,W,L,0
45,0,45,W,T,0
45,0,45,W,R,0
46,0,46,N,L,0
46,0,46,N,T,0
46,0,46,N,R,0
46,0,46,E,L,0
46,0,46,E,T,0
46,0,46,E,R,0
46,0,46,S,L,0
46,0,46,S,T,0
46,0,46,S,R,0
46,0,46,W,L,0
46,0,46,W,T,0
46,0,46,W,R,0
47,0,47,N,L,0
47,0,47,N,T,0
47,0,47,N,R,0
47,0,47,E,L,0
47,0,47,E,T,0
47,0,47,E,R,0
47,0,47,S,L,0
47,0,47,S,T,0
47,0,47,S,R,0
47,0,47,W,L,0
47,0,47,W,T,0
47,0,47,W,R,0
48,0,48,N,L,0
48,0,48,N,T,0
48,0,48,N,R,0
48,0,48,E,L,0
48,0,48,E,T,0
48,0,48,E,R,0
48,0,48,S,L,0
48,0,48,S,T,0
48,0,48,S,R,0
48,0,48,W,L,0
48,0,48,W,T,0
48,0,48,W,R,0
49,0,49,N,L,0
49,0,49,N,T,0
49,0,49,N,R,0
49,0,49,E,L,0
49,0,49,E,T,0
49,0,49,E,R,0
49,0,49,S,L,0
49,0,49,S,T,0
49,0,49,S,R,0
49,0,49,W,L,0
49,0,49,W,T,0
49,0,49,W,R,0
50,0,50,N,L,0
50,0,50,N,T,0
50,0,50,N,R,0
50,0,50,E,L,0
50,0,50,E,T,0
50,0,50,E,R,0
50,0,50,S,L,0
50,0,50,S,T,0
50,0,50,S,R,0
50,0,50,W,L,0
50,0,50,W,T,0
50,0,50,W,R,0
51,0,51,N,L,0
51,0,51,N,T,0
51,0,51,N,R,0
51,0,51,E,L,0
51,0,51,E,T,0
51,0,51,E,R,0
51,0,51,S,L,0
51,0,51,S,T,0
51,0,51,S,R,0
51,0,51,W,L,0
51,0,51,W,T,0
51,0,51,W,R,0
52,0,52,N,L,0
52,0,52,N,T,0
52,0,52,N,R,0
52,0,52,E,L,1
52,0,52,E,T,1
52,0,52,E,R,0
52,0,52,S,L,0
52,0,52,S,T,0
52,0,52,S,R,0
52,0,52,W,L,0
52,0,52,W,T,0
52,0,52,W,R,0
53,0,53,N,L,0
53,0,53,N,T,0
53,0,53,N,R,0
53,0,53,E,L,0
53,0,53,E,T,0
53,0,53,E,R,0
53,0,53,S,L,0
53,0,53,S,T,0
53,0,53,S,R,0
53,0,53,W,L,0
53,0,53,W,T,1
53,0,53,W,R,0
54,0,54,N,L,0
54,0,54,N,T,0
54,0,54,N,R,0
54,0,54,E,L,0
54,0,54,E,T,0
54,0,54,E,R,0
54,0,54,S,L,0
54,0,54,S,T,0
54,0,54,S,R,0
54,0,54,W,L,0
54,0,54,W,T,0
54,0,54,W,R,0
55,0,55,N,L,0
55,0,55,N,T,0
55,0,55,N,R,0
55,0,55,E,L,0
55,0,55,E,T,0
55,0,55,E,R,0
55,0,55,S,L,0
55,0,55,S,T,0
55,0,55,S,R,0
55,0,55,W,L,0
55,0,55,W,T,0
55,0,55,W,R,0
56,0,56,N,L,0
56,0,56,N,T,0
56,0,56,N,R,0
56,0,56,E,L,0
56,0,56,E,T,0
56,0,56,E,R,0
56,0,56,S,L,0
56,0,56,S,T,0
56,0,56,S,R,0
56,0,56,W,L,0
56,0,56,W,T,0
56,0,56,W,R,0
57,0,57,N,L,0
57,0,57,N,T,0
57,0,57,N,R,0
57,0,57,E,L,0
57,0,57,E,T,0
57,0,57,E,R,0
57,0,57,S,L,0
57,0,57,S,T,0
57,0,57,S,R,0
57,0,57,W,L,0
57,0,57,W,T,0
57,0,57,W,R,0
58,0,58,N,L,0
58,0,58,N,T,0
58,0,58,N,R,0
58,0,58,E,L,0
58,0,58,E,T,0
58,0,58,E,R,0
58,0,58,S,L,0
58,0,58,S,T,0
58,0,58,S,R,0
58,0,58,W,L,0
58,0,58,W,T,0
58,0,58,W,R,0
59,0,59,N,L,0
59,0,59,N,T,0
59,0,59,N,R,0
59,0,59,E,L,0
59,0,59,E,T,0
59,0,59,E,R,0
59,0,59,S,L,0
59,0,59,S,T,0
59,0,59,S,R,0
59,0,59,W,L,0
59,0,59,W,T,1
59,0,59,W,R,0
60,1,00,N,L,0
60,1,00,N,T,0
60,1,00,N,R,1
60,1,00,E,L,0
60,1,00,E,T,0
60,1,00,E,R,0
60,1,00,S,L,0
60,1,00,S,T,0
60,1,00,S,R,0
60,1,00,W,L,0
60,1,00,W,T,0
60,1,00,W,R,0
61,1,01,N,L,0
61,1,01,N,T,0
61,1,01,N,R,0
61,1,01,E,L,0
61,1,01,E,T,0
61,1,01,E,R,0
61,1,01,S,L,0
61,1,01,S,T,0
61,1,01,S,R,0
61,1,01,W,L,0
61,1,01,W,T,0
61,1,01,W,R,0
62,1,02,N,L,0
62,1,02,N,T,0
62,1,02,N,R,1
62,1,02,E,L,0
62,1,02,E,T,0
62,1,02,E,R,0
62,1,02,S,L,0
62,1,02,S,T,0
62,1,02,S,R,0
62,1,02,W,L,0
62,1,02,W,T,0
62,1,02,W,R,0
63,1,03,N,L,0
63,1,03,N,T,0
63,1,03,N,R,0
63,1,03,E,L,0
63,1,03,E,T,0
63,1,03,E,R,0
63,1,03,S,L,0
63,1,03,S,T,0
63,1,03,S,R,0
63,1,03,W,L,0
63,1,03,W,T,0
63,1,03,W,R,0
64,1,04,N,L,0
64,1,04,N,T,0
64,1,04,N,R,0
64,1,04,E,L,0
64,1,04,E,T,0
64,1,04,E,R,0
64,1,04,S,L,0
64,1,04,S,T,0
64,1,04,S,R,0
64,1,04,W,L,0
64,1,04,W,T,0
64,1,04,W,R,0
65,1,05,N,L,0
65,1,05,N,T,0
65,1,05,N,R,0
65,1,05,E,L,0
65,1,05,E,T,0
65,1,05,E,R,0
65,1,05,S,L,0
65,1,05,S,T,0
65,1,05,S,R,0
65,1,05,W,L,0
65,1,05,W,T,1
65,1,05,W,R,0
66,1,06,N,L,0
66,1,06,N,T,0
66,1,06,N,R,0
66,1,06,E,L,0
66,1,06,E,T,0
66,1,06,E,R,0
66,1,06,S,L,0
66,1,06,S,T,0
66,1,06,S,R,0
66,1,06,W,L,0
66,1,06,W,T,0
66,1,06,W,R,0
67,1,07,N,L,0
67,1,07,N,T,0
67,1,07,N,R,0
67,1,07,E,L,0
67,1,07,E,T,1
67,1,07,E,R,0
67,1,07,S,L,0
67,1,07,S,T,0
67,1,07,S,R,0
67,1,07,W,L,1
67,1,07,W,T,0
67,1,07,W,R,0
68,1,08,N,L,0
68,1,08,N,T,1
68,1,08,N,R,1
68,1,08,E,L,0
68,1,08,E,T,0
68,1,08,E,R,0
68,1,08,S,L,0
68,1,08,S,T,0
68,1,08,S,R,0
68,1,08,W,L,0
68,1,08,W,T,0
68,1,08,W,R,0
69,1,09,N,L,0
69,1,09,N,T,0
69,1,09,N,R,0
69,1,09,E,L,0
69,1,09,E,T,0
69,1,09,E,R,0
69,1,09,S,L,0
69,1,09,S,T,0
69,1,09,S,R,0
69,1,09,W,L,0
69,1,09,W,T,0
69,1,09,W,R,0
70,1,10,N,L,0
70,1,10,N,T,0
70,1,10,N,R,0
70,1,10,E,L,0
70,1,10,E,T,0
70,1,10,E,R,0
70,1,10,S,L,0
70,1,10,S,T,0
70,1,10,S,R,0
70,1,10,W,L,0
70,1,10,W,T,0
70,1,10,W,R,0
71,1,11,N,L,0
71,1,11,N,T,0
71,1,11,N,R,0
71,1,11,E,L,0
71,1,11,E,T,0
71,1,11,E,R,0
71,1,11,S,L,0
71,1,11,S,T,0
71,1,11,S,R,0
71,1,11,W,L,0
71,1,11,W,T,0
71,1,11,W,R,0
72,1,12,N,L,0
72,1,12,N,T,0
72,1,12,N,R,0
72,1,12,E,L,0
72,1,12,E,T,0
72,1,12,E,R,0
72,1,12,S,L,0
72,1,12,S,T,1
72,1,12,S,R,0
72,1,12,W,L,0
72,1,12,W,T,0
72,1,12,W,R,0
73,1,13,N,L,0
73,1,13,N,T,0
73,1,13,N,R,0
73,1,13,E,L,0
73,1,13,E,T,0
73,1,13,E,R,0
73,1,13,S,L,0
73,1,13,S,T,0
73,1,13,S,R,0
73,1,13,W,L,0
73,1,13,W,T,0
73,1,13,W,R,0
74,1,14,N,L,0
74,1,14,N,T,0
74,1,14,N,R,0
74,1,14,E,L,0
74,1,14,E,T,0
74,1,14,E,R,1
74,1,14,S,L,0
74,1,14,S,T,0
74,1,14,S,R,0
74,1,14,W,L,0
74,1,14,W,T,0
74,1,14,W,R,0
75,1,15,N,L,0
75,1,15,N,T,0
75,1,15,N,R,0
75,1,15,E,L,0
75,1,15,E,T,0
75,1,15,E,R,0
75,1,15,S,L,0
75,1,15,S,T,0
75,1,15,S,R,0
75,1,15,W,L,0
75,1,15,W,T,0
75,1,15,W,R,0
76,1,16,N,L,0
76,1,16,N,T,0
76,1,16,N,R,0
76,1,16,E,L,0
76,1,16,E,T,0
76,1,16,E,R,0
76,1,16,S,L,0
76,1,16,S,T,0
76,1,16,S,R,0
76,1,16,W,L,0
76,1,16,W,T,1
76,1,16,W,R,0
77,1,17,N,L,0
77,1,17,N,T,0
77,1,17,N,R,0
77,1,17,E,L,0
77,1,17,E,T,0
77,1,17,E,R,0
77,1,17,S,L,0
77,1,17,S,T,0
77,1,17,S,R,0
77,1,17,W,L,0
77,1,17,W,T,0
77,1,17,W,R,0
78,1,18,N,L,0
78,1,18,N,T,1
78,1,18,N,R,0
78,1,18,E,L,0
78,1,18,E,T,0
78,1,18,E,R,0
78,1,18,S,L,0
78,1,18,S,T,0
78,1,18,S,R,0
78,1,18,W,L,0
78,1,18,W,T,0
78,1,18,W,R,0
79,1,19,N,L,0
79,1,19,N,T,0
79,1,19,N,R,0
79,1,19,E,L,0
79,1,19,E,T,0
79,1,19,E,R,0
79,1,19,S,L,0
79,1,19,S,T,0
79,1,19,S,R,0
79,1,19,W,L,0
79,1,19,W,T,0
79,1,19,W,R,0
80,1,20,N,L,0
80,1,20,N,T,0
80,1,20,N,R,0
80,1,20,E,L,0
80,1,20,E,T,0
80,1,20,E,R,0
80,1,20,S,L,0
80,1,20,S,T,0
80,1,20,S,R,0
80,1,20,W,L,0
80,1,20,W,T,0
80,1,20,W,R,0
81,1,21,N,L,0
81,1,21,N,T,0
81,1,21,N,R,0
81,1,21,E,L,0
81,1,21,E,T,0
81,1,21,E,R,0
81,1,21,S,L,0
81,1,21,S,T,0
81,1,21,S,R,0
81,1,21,W,L,0
81,1,21,W,T,0
81,1,21,W,R,0
82,1,22,N,L,0
82,1,22,N,T,0
82,1,22,N,R,0
82,1,22,E,L,0
82,1,22,E,T,1
82,1,22,E,R,0
82,1,22,S,L,0
82,1,22,S,T,0
82,1,22,S,R,0
82,1,22,W,L,0
82,1,22,W,T,0
82,1,22,W,R,0
83,1,23,N,L,0
83,1,23,N,T,0
83,1,23,N,R,0
83,1,23,E,L,0
83,1,23,E,T,0
83,1,23,E,R,0
83,1,23,S,L,0
83,1,23,S,T,0
83,1,23,S,R,0
83,1,23,W,L,0
83,1,23,W,T,0
83,1,23,W,R,0
84,1,24,N,L,0
84,1,24,N,T,0
84,1,24,N,R,0
84,1,24,E,L,0
84,1,24,E,T,0
84,1,24,E,R,0
84,1,24,S,L,0
84,1,24,S,T,0
84,1,24,S,R,0
84,1,24,W,L,0
84,1,24,W,T,0
84,1,24,W,R,0
85,1,25,N,L,0
85,1,25,N,T,0
85,1,25,N,R,0
85,1,25,E,L,0
85,1,25,E,T,0
85,1,25,E,R,0
85,1,25,S,L,0
85,1,25,S,T,0
85,1,25,S,R,0
85,1,25,W,L,0
85,1,25,W,T,0
85,1,25,W,R,0
86,1,26,N,L,0
86,1,26,N,T,1
86,1,26,N,R,0
86,1,26,E,L,0
86,1,26,E,T,0
86,1,26,E,R,0
86,1,26,S,L,0
86,1,26,S,T,0
86,1,26,S,R,0
86,1,26,W,L,0
86,1,26,W,T,0
86,1,26,W,R,0
87,1,27,N,L,0
87,1,27,N,T,0
87,1,27,N,R,0
87,1,27,E,L,0
87,1,27,E,T,0
87,1,27,E,R,0
87,1,27,S,L,0
87,1,27,S,T,0
87,1,27,S,R,0
87,1,27,W,L,0
87,1,27,W,T,0
87,1,27,W,R,0
88,1,28,N,L,0
88,1,28,N,T,0
88,1,28,N,R,0
88,1,28,E,L,0
88,1,28,E,T,0
88,1,28,E,R,0
88,1,28,S,L,0
88,1,28,S,T,0
88,1,28,S,R,0
88,1,28,W,L,0
88,1,28,W,T,0
88,1,28,W,R,0
89,1,29,N,L,0
89,1,29,N,T,2
89,1,29,N,R,0
89,1,29,E,L,0
89,1,29,E,T,0
89,1,29,E,R,0
89,1,29,S,L,0
89,1,29,S,T,0
89,1,29,S,R,0
89,1,29,W,L,0
89,1,29,W,T,1
89,1,29,W,R,0
90,1,30,N,L,0
90,1,30,N,T,0
90,1,30,N,R,0
90,1,30,E,L,0
90,1,30,E,T,0
90,1,30,E,R,0
90,1,30,S,L,0
90,1,30,S,T,0
90,1,30,S,R,0
90,1,30,W,L,0
90,1,30,W,T,0
90,1,30,W,R,0
91,1,31,N,L,0
91,1,31,N,T,0
91,1,31,N,R,0
91,1,31,E,L,0
91,1,31,E,T,0
91,1,31,E,R,0
91,1,31,S,L,0
91,1,31,S,T,0
91,1,31,S,R,0
91,1,31,W,L,0
91,1,31,W,T,0
91,1,31,W,R,0
92,1,32,N,L,0
92,1,32,N,T,0
92,1,32,N,R,0
92,1,32,E,L,0
92,1,32,E,T,0
92,1,32,E,R,0
92,1,32,S,L,0
92,1,32,S,T,0
92,1,32,S,R,0
92,1,32,W,L,0
92,1,32,W,T,0
92,1,32,W,R,0
93,1,33,N,L,0
93,1,33,N,T,0
93,1,33,N,R,0
93,1,33,E,L,0
93,1,33,E,T,0
93,1,33,E,R,0
93,1,33,S,L,0
93,1,33,S,T,0
93,1,33,S,R,0
93,1,33,W,L,0
93,1,33,W,T,0
93,1,33,W,R,0
94,1,34,N,L,0
94,1,34,N,T,0
94,1,34,N,R,0
94,1,34,E,L,0
94,1,34,E,T,0
94,1,34,E,R,0
94,1,34,S,L,0
94,1,34,S,T,1
94,1,34,S,R,0
94,1,34,W,L,0
94,1,34,W,T,0
94,1,34,W,R,0
95,1,35,N,L,0
95,1,35,N,T,1
95,1,35,N,R,0
95,1,35,E,L,0
95,1,35,E,T,1
95,1,35,E,R,0
95,1,35,S,L,0
95,1,35,S,T,0
95,1,35,S,R,0
95,1,35,W,L,0
95,1,35,W,T,0
95,1,35,W,R,0
96,1,36,N,L,0
96,1,36,N,T,0
96,1,36,N,R,0
96,1,36,E,L,0
96,1,36,E,T,0
96,1,36,E,R,0
96,1,36,S,L,0
96,1,36,S,T,2
96,1,36,S,R,0
96,1,36,W,L,0
