t_seconds,approach,movement,vehicles_count
1380,W,T,11
1440,E,L,2
1440,E,R,1
1440,E,T,8
1440,N,L,2
1440,N,R,2
1440,N,T,11
1440,S,L,3
1440,S,R,2
1440,S,T,11
1440,W,L,2
1440,W,R,2
1440,W,T,8
1500,E,L,3
1500,E,R,3
1500,E,T,13
1500,N,L,3
1500,N,R,3
1500,N,T,12
1500,S,L,2
1500,S,R,2
1500,S,T,11
1500,W,L,3
1500,W,R,2
1500,W,T,12
1560,E,L,3
1560,E,R,3
1560,E,T,12
1560,N,L,2
1560,N,R,2
1560,N,T,9
1560,S,L,2
1560,S,R,1
1560,S,T,8
1560,W,L,2
1560,W,R,2
1560,W,T,11
1620,E,L,3
1620,E,R,3
1620,E,T,14
1620,N,L,3
1620,N,R,2
1620,N,T,12
1620,S,L,3
1620,S,R,3
1620,S,T,13
1620,W,L,3
1620,W,R,3
1620,W,T,14
1680,E,L,3
1680,E,R,2
1680,E,T,12
1680,N,L,2
1680,N,R,2
1680,N,T,11
1680,S,L,3
1680,S,R,3
1680,S,T,14
1680,W,L,2
1680,W,R,1
1680,W,T,8
1740,E,L,3
1740,E,R,3
1740,E,T,12
1740,N,L,2
1740,N,R,2
1740,N,T,8
1740,S,L,3
1740,S,R,2
1740,S,T,12
1740,W,L,3
1740,W,R,2
1740,W,T,12
